                                                                                                   title                                                                                                                                                                                                                                                       description   submission_deadline                        country                   sector
0                                                Electricity Distribution Efficiency Improvement Project                                                                                                                                                                                                                          Procurement of PR & Media Relations Firm  2026-09-17T00:00:00Z                       Pakistan      Consultant Services
1                          Support for Resilient Livelihoods in the South of Madagascar - MIONJO Project                                                                                                                                                                                                                                      Acquisition de kits de pêche  2026-09-23T00:00:00Z                     Madagascar                    Goods
2   Project Preparation Assistance: Enhancing Access to Tertiary Education through Student Loan Mechanis                                                                                                                                             Conducting a gender and social inclusion assessment of the student loan program and beneficiary experience evaluation  2026-09-15T00:00:00Z                     Uzbekistan      Consultant Services
3                                                         Indonesia Health Systems Strengthening Project                                                                                                                                                                                                                 Procurement of Evoked Potential Recorder - 8 unit  2026-09-14T00:00:00Z                      Indonesia                    Goods
4                                       Center for Advancement in Restoration and Modernization Capacity                                                                                                                                                                                                Annual email marketing platform subscription for the CARMC Project  2026-09-22T00:00:00Z                        Ukraine                    Goods
5                            JAMAICA: SOCIAL PROTECTION FOR INCREASED RESILIENCE AND OPPORTUNITY (SPIRO)                                                                                                                                                                               22 Employment Counsellors for Public Employment Services Electronic Labour Exchange  2026-09-18T00:00:00Z                        Jamaica  Non-consulting Services
6                                                          Madagascar Road Sector Sustainability Project                                                                                                                                                                                                 Réaménagement de quelques centres d'examens de permis de conduire  2026-10-07T00:00:00Z                     Madagascar                    Works
7                                    Transforming Landscapes for Resilience and Development in Zambia II                                                                                                                             Consultancy Services to conduct a Feasibility Study for the Establishment of a National Lightning Detection Network (NLDN) for Zambia  2026-09-15T00:00:00Z                         Zambia      Consultant Services
8                                                             Electricity Access Scale-up Project (EASP)   Consultancy Services to Support the Development and Operationalisation of Environmental and Social Management Systems (ESMS) for Energy Service Companies (ESCOs) Under the Financial Intermediation Component of the Electricity Access Scale-Up Project (EASP  2026-09-02T00:00:00Z                         Uganda      Consultant Services
9                           Sub-Saharan Africa Women’s Empowerment and Demographic Dividend Plus Project                                                                                                                                                                                                                       School Kits for Vulnerable Schoolgirls-2026  2026-09-14T00:00:00Z     Western and Central Africa                    Goods
10                                                                 Kerala Solid Waste Management Project                                                                                                                             Construction of Toilet block, Washing & Changing Area and Office Area for RRF in Pushpagiri Ward (Ward 14) of Thiruvalla Municipality  2026-09-23T00:00:00Z                          India                    Works
11                         Support for Resilient Livelihoods in the South of Madagascar - MIONJO Project                                                                                                                                                    Construction de bureaux administratifs pour les CIRPEB repartis en 02 lots: District Betroka, District Morombe  2026-09-24T00:00:00Z                     Madagascar                    Works
12          Democratic Republic of Congo Health Emergency Preparedness, Response, and Resilience Project                       Recrutement d’un Bureau d’Étude pour l’élaboration des états lieux du WASH-FIT et la préparation des études techniques (APS, APD, DAO) des infrastructures WASH dans les formations sanitaires des provinces de l'Equateur et de la Tshuapa  2026-09-15T00:00:00Z  Congo, Democratic Republic of      Consultant Services
13                                              Adolescent Girls Initiative for Learning and Empowerment                                                                                                                                                                                                                         PROCUREMENT AND BRANDING OF IEC MATERIALS  2026-09-02T00:00:00Z                        Nigeria                    Goods
14                                                                             Guyana One Health Project                                                                                                                                                                                                                      Design and Supervision of the NPHRL Building  2026-09-15T00:00:00Z                         Guyana      Consultant Services
15          Democratic Republic of Congo Health Emergency Preparedness, Response, and Resilience Project                                  Recrutement d’un Bureau d’Études pour l’élaboration des états lieux du WASH-FIT et la préparation des études techniques (APS, APD, DAO) des infrastructures WASH dans les formations sanitaires des provinces du Tshopo et Ituri  2026-09-15T00:00:00Z  Congo, Democratic Republic of      Consultant Services
16  Project Preparation Assistance: Enhancing Access to Tertiary Education through Student Loan Mechanis                                                                                                                                            International comparative review of student financing, overseas education, and preparatory education financing systems  2026-09-15T00:00:00Z                     Uzbekistan      Consultant Services
17  Project Preparation Assistance: Enhancing Access to Tertiary Education through Student Loan Mechanis                                                                                                                                           Firm for the organization and delivery of training for staff of partner banks participating in the student loan program  2026-09-15T00:00:00Z                     Uzbekistan      Consultant Services
18                                                                       Liberia Economic Corridors GFPP                                                                                                                                                                                                International Social Consultant for Preparation of ESF Instruments  2026-09-16T00:00:00Z                        Liberia      Consultant Services
19                                                Ukraine Improving Higher Education for Results Project                                                                                                                                                                                                                      Procurement of Backup Power Systems for MoES  2026-09-21T00:00:00Z                        Ukraine                    Goods
20                                                                 Kerala Solid Waste Management Project  Upgradation of RRF with Extension of area and Construction of Toilet, Washing & Changing area, Office area, for RRF in Pushpagiri Ward (Ward 14) of Thiruvalla Municipality, Pathanamthitta District -\tSub Project A: Upgradation of RRF with extension of area  2026-09-23T00:00:00Z                          India                    Works
21                                                      Burundi Skills for Jobs: Women and Youth Project                                                                                                                      Recrutement d’un Consultant International pour la mise en place du dispositif  de la Validation des Acquis de l’Expérience (VAE) au Burundi.  2026-09-18T00:00:00Z                        Burundi      Consultant Services
22                                                                 BDI Human Capital Development Project                                                                                                       Acquisition des kits scolaires aux enfants vulnérables du Préscolaire, du fondamental et du post fondamental des provinces Buhumuza et Butanyerera (2 lots)  2026-10-07T00:00:00Z                        Burundi                    Goods
23                                                 Niger Accelerating Electricity Access Project (Haské)                                                                                                                                           Travaux de réalisation des systèmes de pompage d'eau potable par énergie solaire (Relance Lot 1, Lot 2, Lot 3 et Lot 4)  2026-10-05T00:00:00Z                          Niger                    Works
24                                                        Transforming Access and Learning in Madagascar                                                                                                                                                                                                   Travaux d'installation de 310 points d'eau par puits 1ère Vague  2026-10-02T00:00:00Z                     Madagascar                    Works
